No.	APIs	Outline	Mode	ILX-LR1	ILCE-1M2	ILCE-1	ILCE-9M3	ILCE-9M2	ILCE-7RM5	ILCE-7RM4A	ILCE-7RM4	ILCE-7CR	ILCE-7SM3	ILCE-7M4	ILCE-7CM2	ILCE-7C	ILCE-6700	MPC-2610	ILME-FX6	ILME-FX2	ILME-FX3A	ILME-FX3	ILME-FX30	PXW-Z200	HXR-NX800	ZV-E1	ZV-E10M2	DSC-RX0M2	ILME-FR7	BRC-AM7
42	:ref:`GetMediaProfile<api-get-media-profile>`	Get the MediaProfile Lists.	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
43	:ref:`ReleaseMediaProfile<api-release-media-profile>`	Release the CrMediaProfileInfo objects allocated by GetMediaProfile.	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
44	:ref:`RequestLensInformation<api-request-lens-information>`	Request the acquisition of Lens information.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
45	:ref:`GetLensInformation<api-get-lens-information>`	Get the Lens information Lists.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
46	:ref:`ReleaseLensInformation<api-release-lens-information>`	Release the CrLensInformation objects allocated by GetLensInformation.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
47	:ref:`ImportLUTFile<api-import-lut-file>`	Import the LUT file. 	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	✔	✔	✔	✔	✔	\-	✔	\-	\-	\-
48	:ref:`RequestFTPServerSettingList<api-request-ftp-server-setting-list>`	Request the FTP Server setting lists.  	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
49	:ref:`GetFTPServerSettingList<api-get-ftp-server-setting-list>`	Get the FTP Server setting lists.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
50	:ref:`ReleaseFTPServerSettingList<api-release-ftp-server-setting-list>`	Release the CrFTPServerSetting objects allocated by GetFTPServerSettingList.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
51	:ref:`SetFTPServerSetting<api-set-ftp-server-setting>`	Update FTP Server setting.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
52	:ref:`RequestFTPJobList<api-request-ftp-job-list>`	Request the FTP Job lists.	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
53	:ref:`GetFTPJobList<api-get-ftp-job-list>`	Get the FTP Job lists.	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
54	:ref:`ReleaseFTPJobList<api-release-ftp-job-list>`	Release the CrFTPJobInfo objects allocated by GetFTPJobList.	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
55	:ref:`ControlFTPJobList<api-control-ftp-job-list>`	Add, delete, suspend, and resume FTP Jobs.	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
56	:ref:`GetCRSDKOperationResultsSupported<api-get-crsdk-operation-results-supported>`	Get a list of "API" and "Function" that will notify you of the results.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
57	:ref:`ReleaseCRSDKOperationResultsSupported<api-release-crsdk-operation-results-supported>`	Release the CrOperationResultSupportedInfo objects allocated by GetCRSDKOperationResultsSupported.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
58	:ref:`SetMonitoringDeliverySetting<api-set-monitoring-delivery-setting>`	Set the Monitoring delivery setting.	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	✔	✔	✔	✔	✔	\-	\-	\-	\-	\-
59	:ref:`GetMonitoringDeliverySetting<api-get-monitoring-delivery-setting>`	Get the Monitoring delivery setting.	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	✔	✔	✔	✔	✔	\-	\-	\-	\-	\-
60	:ref:`ReleaseMonitoringDeliverySetting<api-release-monitoring-delivery-setting>`	Release the CrMonitoringDeliverySetting objects allocated by GetMonitoringDeliverySetting.	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	✔	✔	✔	✔	✔	\-	\-	\-	\-	\-
61	:ref:`ControlMonitoring<api-control-monitoring>`	Control Monitoring.	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	✔	✔	✔	✔	✔	\-	\-	\-	\-	\-
62	:ref:`RequestZoomAndFocusPreset<api-request-zoom-and-focus-preset>`	Request the Zoom&Focus Preset information lists.	R/T	\-	✔	✔	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
63	:ref:`GetZoomAndFocusPreset<api-get-zoom-and-focus-preset>`	Get the Zoom&Focus Preset information lists.	R/T	\-	✔	✔	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
64	:ref:`ReleaseZoomAndFocusPreset<api-release-zoom-and-focus-preset>`	Release the CrZoomAndFocusPresetInfo objects allocated by GetZoomAndFocusPreset.	R/T	\-	✔	✔	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
65	:ref:`RequestFTPTransferResult<api-request-ftp-transfer-result>`	Request the FTP Transfer Result information.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
66	:ref:`GetOSDImage<api-get-osd-image>`	Get the OSD image data.	R/T	✔	✔	✔	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-	\-
67	:ref:`GetRemoteTransferCapturedDateList<api-get-remote-transfer-captured-date-list>`	Get the list of captured date.	T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	\-	\-	\-	\-
68	:ref:`GetRemoteTransferContentsInfoList<api-get-remote-transfer-contents-info-list>`	Get the list of contents info.	T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	\-	\-	\-	\-
69	:ref:`GetRemoteTransferContentsData<api-get-remote-transfer-contents-data>`	Get the contents data buffer.	T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	\-	\-	\-	\-
70	:ref:`GetRemoteTransferContentsDataFile (\*1)<api-get-remote-transfer-contents-data-file>`	Get the contents data file.	T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	\-	\-	\-	\-
71	:ref:`ControlGetRemoteTransferContentsDataFile<api-control-get-remote-transfer-contents-data-file>`	Control get contents data file function.	T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	\-	\-	\-	\-
72	:ref:`GetRemoteTransferContentsCompressedData<api-get-remote-transfer-contents-compressed-data>`	Get contents compressed data buffer.	T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	\-	\-	\-	\-
73	:ref:`GetRemoteTransferContentsCompressedDataFile<api-get-remote-transfer-contents-compressed-data-file>`	Get contents compressed data file.	T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	\-	\-	\-	\-
74	:ref:`ReleaseRemoteTransferCapturedDateList<api-release-remote-transfer-captured-date-list>`	Release the list of captured date.	T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	\-	\-	\-	\-
75	:ref:`ReleaseRemoteTransferContentsInfoList<api-release-remote-transfer-contents-info-list>`	Release the list of contents info.	T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	\-	\-	\-	\-
76	:ref:`SetMoviePlaybackSetting<api-set-movie-playback-setting>`	Set the movie playback setting.	T	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
77	:ref:`GetMoviePlaybackSetting<api-get-movie-playback-setting>`	Get the movie playback setting.	T	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
78	:ref:`ReleaseMoviePlaybackSetting<api-release-movie-playback-setting>`	Release the movie playback setting object allocated by GetMoviePlaybackSetting.	T	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
79	:ref:`ControlMoviePlayback<api-control-movie-playback>`	Control movie playback operation.	T	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
80	:ref:`RequestMoviePlaybackStatus<api-request-movie-playback-status>`	Request the movie playback status.	T	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
81	:ref:`GetMoviePlaybackStatus<api-get-movie-playback-status>`	Get the movie playback status.	T	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
82	:ref:`PrecheckFirmwareUpdate<api-pre-check-firmware-update>`	Precheck remote firmware update.	R/T	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
83	:ref:`UploadPartialFile<api-upload-partial-file>`	Upload file by partial.	R/T	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
84	:ref:`CancelFirmwareUpload<api-cancel-firmware-upload>`	Cancel upload firmware file.	R/T	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
85	:ref:`RequestFirmwareUpdaterInfo<api-request-firmware-updater-info>`	Request firmware updater info.	R/T	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
86	:ref:`StartFirmwareUpdate<api-start-firmware-update>`	Start firmware update.	R/T	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
87	:ref:`ControlPTZF<api-header-control-ptzf>`	Control the Pan/Tilt.	R	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔
88	:ref:`PresetPTZFClear<api-header-preset-ptzf-clear>`	Clear the Preset PTZF.	R	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔
89	:ref:`PresetPTZFSet<api-header-preset-ptzf-set>`	Set the Preset PTZF.	R	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔
90	:ref:`SetTimeZoneSetting<api-header-set-timezone-setting>`	Set the TImeZone Settings.	R/T	\-	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
91	:ref:`RequestTimeZoneSetting<api-header-request-timezone-setting>`	Request the TimeZone Settings in camera.	R/T	\-	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
92	:ref:`GetTimeZoneSetting<api-header-get-timezone-setting>`	Get the TImeZone Settings in camera.	R/T	\-	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
93	:ref:`DeleteRemoteTransferContentsFile<api-delete-remote-transfer-contents-file>`	Delete Contents in camera.	T	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
94	:ref:`UploadSceneFile<api-UploadSceneFile>`	Upload the Scene file.	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
95	:ref:`DownloadSceneFile<api-DownloadSceneFile>`	Download the Scene file.	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
96	:ref:`ExecuteEframing<api-ExecuteEframing>`	Execute the Eframing by Absolute position.	R	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
97	:ref:`UpdateEframingArea<api-UpdateEframingArea>`	Execute the Eframing by Relative position and size.	R	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
98	:ref:`RequestStreamSettingList<api-request-stream-setting-list>`	Request the Stream setting lists.  	R	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
99	:ref:`GetStreamSettingList<api-get-stream-setting-list>`	Get the Stream setting lists.	R	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
100	:ref:`ReleaseStreamSettingList<api-release-stream-setting-list>`	Release the CrVideoStreamSetting objects allocated by GetStreamSettingList.	R	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
